================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 56, iters: 10, time: 0.125, data: 0.001) D_A: 0.182 G_A: 0.494 cycle_A: 0.529 idt_A: 0.323 D_B: 0.191 G_B: 0.265 cycle_B: 0.550 idt_B: 0.396 
(epoch: 56, iters: 110, time: 0.125, data: 0.001) D_A: 0.264 G_A: 0.755 cycle_A: 0.784 idt_A: 0.692 D_B: 0.120 G_B: 0.351 cycle_B: 1.563 idt_B: 0.586 
(epoch: 57, iters: 12, time: 0.125, data: 0.001) D_A: 0.168 G_A: 0.592 cycle_A: 1.091 idt_A: 0.782 D_B: 0.118 G_B: 0.120 cycle_B: 1.558 idt_B: 0.359 
(epoch: 57, iters: 112, time: 0.545, data: 0.001) D_A: 0.110 G_A: 0.788 cycle_A: 0.814 idt_A: 0.424 D_B: 0.194 G_B: 0.414 cycle_B: 1.008 idt_B: 0.284 
(epoch: 58, iters: 14, time: 0.125, data: 0.001) D_A: 0.191 G_A: 0.255 cycle_A: 1.043 idt_A: 0.403 D_B: 0.194 G_B: 0.247 cycle_B: 0.968 idt_B: 0.446 
(epoch: 58, iters: 114, time: 0.125, data: 0.001) D_A: 0.203 G_A: 0.711 cycle_A: 0.787 idt_A: 0.331 D_B: 0.328 G_B: 0.106 cycle_B: 0.693 idt_B: 0.351 
(epoch: 59, iters: 16, time: 0.125, data: 0.001) D_A: 0.220 G_A: 0.134 cycle_A: 1.117 idt_A: 0.318 D_B: 0.234 G_B: 0.447 cycle_B: 0.722 idt_B: 0.516 
(epoch: 59, iters: 116, time: 0.625, data: 0.001) D_A: 0.242 G_A: 0.671 cycle_A: 0.714 idt_A: 0.472 D_B: 0.190 G_B: 0.227 cycle_B: 1.079 idt_B: 0.276 
(epoch: 60, iters: 18, time: 0.125, data: 0.001) D_A: 0.040 G_A: 0.695 cycle_A: 1.598 idt_A: 0.411 D_B: 0.231 G_B: 0.268 cycle_B: 0.765 idt_B: 0.746 
(epoch: 60, iters: 118, time: 0.125, data: 0.001) D_A: 0.389 G_A: 0.259 cycle_A: 0.618 idt_A: 0.419 D_B: 0.225 G_B: 0.092 cycle_B: 0.938 idt_B: 0.306 
(epoch: 61, iters: 20, time: 0.125, data: 0.001) D_A: 0.138 G_A: 0.397 cycle_A: 1.002 idt_A: 0.371 D_B: 0.363 G_B: 0.118 cycle_B: 0.859 idt_B: 0.558 
(epoch: 61, iters: 120, time: 0.564, data: 0.001) D_A: 0.175 G_A: 0.638 cycle_A: 0.992 idt_A: 0.325 D_B: 0.441 G_B: 1.085 cycle_B: 0.993 idt_B: 0.367 
(epoch: 62, iters: 22, time: 0.125, data: 0.001) D_A: 0.090 G_A: 0.461 cycle_A: 0.981 idt_A: 0.381 D_B: 0.179 G_B: 0.555 cycle_B: 0.741 idt_B: 0.306 
(epoch: 62, iters: 122, time: 0.125, data: 0.001) D_A: 0.339 G_A: 0.432 cycle_A: 1.187 idt_A: 0.384 D_B: 0.203 G_B: 0.169 cycle_B: 1.079 idt_B: 0.552 
